id,title,link,published,source
136,Student inventors put on their thinking caps - OCRegister,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3Lm9jcmVnaXN0ZXIuY29tLzIwMDkvMDEvMzEvc3R1ZGVudC1pbnZlbnRvcnMtcHV0LW9uLXRoZWlyLXRoaW5raW5nLWNhcHMv0gFXaHR0cHM6Ly93d3cub2NyZWdpc3Rlci5jb20vMjAwOS8wMS8zMS9zdHVkZW50LWludmVudG9ycy1wdXQtb24tdGhlaXItdGhpbmtpbmctY2Fwcy9hbXAv?oc=5,2009-01-31 08:00:00,OCRegister
138,New surveillance system for aircraft - Otago Daily Times - Regions,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lm9kdC5jby5uei9yZWdpb25zL3F1ZWVuc3Rvd24tbGFrZXMvbmV3LXN1cnZlaWxsYW5jZS1zeXN0ZW0tYWlyY3JhZnTSAQA?oc=5,2009-01-31 08:00:00,Otago Daily Times - Regions
141,"Governor Arthur Langlie dedicates Seattle-Tacoma International Airport on July 9, 1949. - HistoryLink.org",https://news.google.com/rss/articles/CBMiJWh0dHBzOi8vd3d3Lmhpc3RvcnlsaW5rLm9yZy9GaWxlLzEwMDbSAQA?oc=5,2009-02-01 08:00:00,HistoryLink.org
150,The Daschles: feeding at the Beltway trough - Salon,https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vd3d3LnNhbG9uLmNvbS8yMDA5LzAyLzAxL2Rhc2NobGVfMi_SAQA?oc=5,2009-02-01 08:00:00,Salon
149,This Car Runs on Code - IEEE Spectrum,https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vc3BlY3RydW0uaWVlZS5vcmcvdGhpcy1jYXItcnVucy1vbi1jb2Rl0gEA?oc=5,2009-02-01 08:00:00,IEEE Spectrum
153,Environmentalists: Japanese whalers used sound gun against us! - TechCrunch,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAwOS8wMi8wMy9lbnZpcm9ubWVudGFsaXN0cy1qYXBhbmVzZS13aGFsZXJzLXVzZWQtc291bmQtZ3VuLWFnYWluc3QtdXMv0gFjaHR0cHM6Ly90ZWNoY3J1bmNoLmNvbS8yMDA5LzAyLzAzL2Vudmlyb25tZW50YWxpc3RzLWphcGFuZXNlLXdoYWxlcnMtdXNlZC1zb3VuZC1ndW4tYWdhaW5zdC11cy9hbXAv?oc=5,2009-02-03 08:00:00,TechCrunch
155,Aeroflot sorry for 'drunk' pilot scare - The Guardian,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9idXNpbmVzcy8yMDA5L2ZlYi8wNC9hZXJvZmxvdC1hcG9sb2d5LWRydW5rLXBpbG900gFNaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL2J1c2luZXNzLzIwMDkvZmViLzA0L2Flcm9mbG90LWFwb2xvZ3ktZHJ1bmstcGlsb3Q?oc=5,2009-02-04 08:00:00,The Guardian
157,Paramount Airways on the expansion trail in 2009 | CAPA - CAPA - Centre for Aviation,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vY2VudHJlZm9yYXZpYXRpb24uY29tL2FuYWx5c2lzL3JlcG9ydHMvcGFyYW1vdW50LWFpcndheXMtb24tdGhlLWV4cGFuc2lvbi10cmFpbC1pbi0yMDA5LTUyNzTSAQA?oc=5,2009-02-04 08:00:00,CAPA - Centre for Aviation
159,"Baranski to Play High-Society Mom on ABC's ""Ugly Betty"" - Playbill",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vcGxheWJpbGwuY29tL2FydGljbGUvYmFyYW5za2ktdG8tcGxheS1oaWdoLXNvY2lldHktbW9tLW9uLWFiY3MtdWdseS1iZXR0eS1jb20tMTU3NzAz0gEA?oc=5,2009-02-05 08:00:00,Playbill
162,Pilotless helicopter hovers at SCLA - VVdailypress.com,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnZ2ZGFpbHlwcmVzcy5jb20vc3RvcnkvbmV3cy8yMDA5LzAyLzA2L3BpbG90bGVzcy1oZWxpY29wdGVyLWhvdmVycy1hdC1zY2xhLzM3MDc1NTIzMDA3L9IBAA?oc=5,2009-02-06 08:00:00,VVdailypress.com
