id,title,link,published,source
194,How Pfizer's $2.3B criminal settlement proves Obama wants to 'federalize' healthcare | ScienceBlogs - ScienceBlogs,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vc2NpZW5jZWJsb2dzLmNvbS9uZXVyb25jdWx0dXJlLzIwMDkvMDkvMDIvaG93LXBmaXplcnMtMjNiLWNyaW1pbmFsLXNldHRs0gEA?oc=5,2009-09-02 07:00:00,ScienceBlogs
224,The Very Best Of Special and Upcoming Events - gomag.com,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vZ29tYWcuY29tL2FydGljbGUvdGhlX3ZlcnlfYmVzdF9vZl9zcGVjaWFsXzgv0gEA?oc=5,2009-09-10 07:00:00,gomag.com
227,Topekan in case against Pfizer - The Topeka Capital-Journal,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmNqb25saW5lLmNvbS9zdG9yeS9uZXdzL2xvY2FsLzIwMDkvMDkvMTMvdG9wZWthbi1pbi1jYXNlLWFnYWluc3QtcGZpemVyLzE2NTkzOTQ3MDA3L9IBAA?oc=5,2009-09-13 07:00:00,The Topeka Capital-Journal
231,Scary economic times scar lives - and dreams - Times Herald-Record,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnJlY29yZG9ubGluZS5jb20vc3RvcnkvbmV3cy8yMDA5LzA5LzIwL3NjYXJ5LWVjb25vbWljLXRpbWVzLXNjYXItbGl2ZXMvNTE4NjEyNjMwMDcv0gEA?oc=5,2009-09-20 07:00:00,Times Herald-Record
233,Niesha Hamilton and Aaron Foster - The New York Times,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDkvMjcvZmFzaGlvbi93ZWRkaW5ncy8yN0hBTUlMVE9OLmh0bWzSAQA?oc=5,2009-09-26 07:00:00,The New York Times
235,Value Destruction: The Cost to Companies That Engage in Deceptive Marketing - Knowledge@Wharton,https://news.google.com/rss/articles/CBMid2h0dHBzOi8va25vd2xlZGdlLndoYXJ0b24udXBlbm4uZWR1L2FydGljbGUvdmFsdWUtZGVzdHJ1Y3Rpb24tdGhlLWNvc3QtdG8tY29tcGFuaWVzLXRoYXQtZW5nYWdlLWluLWRlY2VwdGl2ZS1tYXJrZXRpbmcv0gEA?oc=5,2009-09-30 07:00:00,Knowledge@Wharton
237,Tainted Meat - Tainted Meat - The New York Times,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL3ZpZGVvL2hlYWx0aC8xMjQ3NDY0OTc4OTQ4L3RhaW50ZWQtbWVhdC5odG1s0gEA?oc=5,2009-10-03 07:00:00,The New York Times
239,"Big banks, big pharma, big problems - New Scientist",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm5ld3NjaWVudGlzdC5jb20vYXJ0aWNsZS9tZzIwNDI3Mjk1LTUwMC1iaWctYmFua3MtYmlnLXBoYXJtYS1iaWctcHJvYmxlbXMv0gEA?oc=5,2009-10-07 07:00:00,New Scientist
246,Engagements: Kara Corinne Picken and Christopher Michael Sawaryn - Norwich Bulletin,https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5ub3J3aWNoYnVsbGV0aW4uY29tL3N0b3J5L2xpZmVzdHlsZS9hbm5vdW5jZW1lbnRzLzIwMDkvMTAvMjUvZW5nYWdlbWVudHMta2FyYS1jb3Jpbm5lLXBpY2tlbi1jaHJpc3RvcGhlci80NTEwMjMwMDAwNy_SAQA?oc=5,2009-10-25 07:00:00,Norwich Bulletin
248,Why does Joe Lieberman oppose healthcare reform? Ask his wife - Salon,https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vd3d3LnNhbG9uLmNvbS8yMDA5LzEwLzMwL2pvZV9saWViZXJtYW4v0gEA?oc=5,2009-10-30 07:00:00,Salon
